filename trial 2ag_15c0 2ag_15c1 2ag_70c0 2ag_70c1 2ag_130c0 2ag_130c1 2ag_190c0 2ag_190c1 AphosNoPP_15c0 AphosNoPP_15c1 AphosNoPP_70c0 AphosNoPP_70c1 AphosNoPP_130c0 AphosNoPP_130c1 AphosNoPP_190c0 AphosNoPP_190c1 CKpCam_15c0 CKpCam_15c1 CKpCam_70c0 CKpCam_70c1 CKpCam_130c0 CKpCam_130c1 CKpCam_190c0 CKpCam_190c1 Epac1_15c0 Epac1_15c1 Epac1_70c0 Epac1_70c1 Epac1_130c0 Epac1_130c1 Epac1_190c0 Epac1_190c1 Pkc_15c0 Pkc_15c1 Pkc_70c0 Pkc_70c1 Pkc_130c0 Pkc_130c1 Pkc_190c0 Pkc_190c1 
AClow-stimtheta-noReb_DaDec1 2 37.48 34.78 129.11 128.93 75.28 79.36 20.58 21.1 479.52 372.84 2589.54 2535.43 3130.12 3158.5 3481.93 3582.87 0.0 0.0 126.42 129.78 237.22 238.25 288.67 276.78 23.98 29.66 181.78 187.49 256.99 253.29 184.82 188.3 1.97 0.0 89.11 180.92 147.33 347.95 67.37 119.85
m1sp-stim20hz-blockM1 0 27.7 31.71 59.54 58.39 56.1 54.51 49.5 48.54 445.55 530.88 2008.72 1979.24 2298.66 2298.04 2509.51 2413.16 0.0 0.0 20.89 17.26 41.8 39.72 58.52 60.18 26.84 29.66 114.04 116.61 107.92 113.63 127.71 131.61 4.58 0.0 16.46 60.95 18.9 74.63 24.45 76.8
m1sp-stim20hz-blockM1 1 21.61 18.41 57.37 53.53 50.9 51.02 50.12 48.67 512.42 552.87 2151.31 2278.9 2270.27 2171.67 2253.36 2214.84 0.0 0.0 25.95 17.3 54.27 65.93 74.31 77.44 17.68 6.14 119.63 120.96 108.73 110.98 96.63 95.68 5.04 0.0 15.49 57.79 19.72 76.67 27.82 71.22
m1sp-stim20hz-blockM1 2 36.28 30.69 63.25 65.34 51.67 52.08 50.62 50.59 409.26 365.68 1873.06 1832.11 2303.0 2257.25 2149.8 2007.28 0.0 0.0 15.8 18.28 39.55 41.9 61.93 65.17 27.52 26.08 91.85 98.2 106.48 108.68 86.84 85.75 3.35 0.0 13.94 91.12 11.89 117.84 21.66 86.77
m1sp-stim20hz-blockMGlu 0 48.0 48.08 136.76 133.66 118.07 116.1 100.36 96.11 432.2 579.46 1875.54 1792.9 2045.87 1867.66 2252.64 2179.47 0.0 0.0 33.71 48.46 59.8 68.7 75.95 80.89 24.17 18.41 98.02 100.63 86.08 86.9 96.95 97.77 6.76 0.0 48.4 13.3 60.53 38.78 78.85 74.07
m1sp-stim20hz-blockMGlu 1 41.32 41.94 130.4 126.5 117.73 118.74 96.44 93.89 418.52 291.01 2043.88 1945.14 2393.45 2528.74 2396.62 2519.28 0.0 0.0 18.88 22.42 49.54 61.12 75.74 76.89 20.75 20.97 106.75 102.25 112.47 111.92 112.63 112.82 8.02 0.0 43.09 16.92 47.28 26.21 62.73 39.0
m1sp-stim20hz-blockMGlu 2 48.55 51.14 130.24 127.48 129.64 128.29 86.66 86.9 338.82 345.74 1771.3 1506.28 2034.34 1760.6 1896.43 1771.13 1.54 0.0 37.31 41.3 60.68 57.75 84.72 75.27 24.32 27.62 81.95 82.34 92.62 93.89 86.33 87.33 5.75 0.0 43.34 31.16 55.9 91.21 62.19 78.85
m1sp-stim20hz-noReb_lowDaDec3 0 61.83 57.79 137.28 135.87 130.83 129.69 112.09 114.26 511.83 624.47 1837.42 1867.53 2246.0 2118.65 2624.27 2337.8 0.0 0.0 23.81 22.08 56.83 63.8 83.26 71.64 16.36 7.16 88.73 85.62 107.86 109.62 99.59 94.7 5.78 0.0 43.9 53.02 54.1 84.64 68.41 84.09
m1sp-stim20hz-noReb_lowDaDec3 1 38.4 35.8 135.99 136.85 135.79 133.7 111.18 110.09 426.42 553.38 1860.67 1829.64 2100.52 2026.93 2003.86 2004.81 0.0 0.0 16.02 21.52 33.85 38.61 64.42 80.64 24.63 25.57 107.58 107.83 91.81 87.97 87.53 88.22 1.29 25.57 41.95 49.99 48.23 75.52 59.49 128.16
m1sp-stim20hz-noReb_lowDaDec3 2 51.25 48.59 153.04 154.5 127.24 128.03 112.18 112.77 395.95 352.38 1726.96 1729.57 2109.67 2012.61 2241.29 2071.21 0.0 0.0 27.82 34.74 45.02 47.56 60.29 60.26 12.64 8.18 83.77 80.34 102.59 97.64 82.12 85.07 5.63 0.0 44.91 62.1 50.99 66.15 63.15 89.63
m1sp-stimtheta-blockM1 0 22.32 16.88 71.16 71.26 37.71 38.57 8.7 9.72 550.17 584.58 2105.34 2047.05 2787.46 2713.8 3152.31 3052.67 0.0 0.0 96.78 101.82 194.63 198.65 242.82 237.22 26.04 28.13 123.99 123.26 168.45 172.53 124.63 121.04 2.64 0.0 27.99 107.57 52.03 208.63 27.72 61.67
m1sp-stimtheta-blockM1 1 16.11 23.53 62.77 58.56 35.88 34.74 9.88 10.78 278.59 410.69 1887.82 1985.12 2845.69 2782.55 3391.57 3554.61 0.0 0.0 95.8 97.52 193.36 198.18 240.15 245.41 19.15 20.46 113.43 111.62 179.8 183.05 176.67 185.01 1.54 0.0 27.2 95.09 58.39 209.86 32.75 109.15
m1sp-stimtheta-blockM1 2 27.33 21.48 64.95 67.77 33.22 32.69 11.69 10.87 248.92 191.28 1730.4 1682.9 2616.66 2623.06 2744.8 2824.19 0.0 0.0 113.09 118.14 206.98 217.19 241.93 253.8 14.17 17.39 90.8 95.34 145.81 148.28 96.35 95.77 2.31 0.0 34.74 137.49 60.04 218.81 21.9 104.72
m1sp-stimtheta-blockMGlu 0 42.15 40.4 132.7 135.19 71.84 76.76 26.64 26.6 601.03 634.19 2080.25 2039.04 2838.34 2865.14 3230.3 3388.39 0.0 0.0 92.85 103.18 183.48 164.51 227.48 201.3 25.06 25.57 124.78 128.67 178.67 182.07 142.94 142.48 8.64 0.0 74.31 39.76 125.14 78.17 62.63 39.59
m1sp-stimtheta-blockMGlu 1 47.41 41.94 146.27 145.55 82.73 84.52 30.12 30.73 406.96 325.28 2192.4 2077.05 2769.54 2807.14 3104.3 3304.22 0.0 0.0 86.87 84.05 179.23 181.18 217.74 208.24 26.1 21.48 126.07 128.24 156.23 150.62 118.45 120.57 8.7 0.0 83.9 57.03 104.08 51.19 51.51 11.55
m1sp-stimtheta-blockMGlu 2 43.08 36.82 123.66 124.11 83.12 82.17 25.08 24.89 404.78 437.28 1894.28 1827.47 2840.77 2832.88 3163.58 3314.79 0.0 0.0 107.23 146.06 200.84 217.79 248.56 251.25 26.96 25.57 106.89 107.74 179.87 188.47 121.57 117.55 2.49 0.0 77.53 27.32 152.31 55.36 66.18 27.7
m1sp-stimtheta-noReb_DaDec1 0 65.61 64.95 137.18 140.14 72.23 71.73 16.73 16.75 601.34 426.54 2039.28 2063.97 2738.21 2700.54 3089.5 3157.09 1.51 0.51 115.38 124.37 235.88 257.51 293.43 300.6 35.24 28.64 125.96 126.8 158.0 162.26 138.45 142.22 8.09 0.0 91.16 162.85 162.6 239.23 80.03 183.22
m1sp-stimtheta-noReb_DaDec1 1 51.22 49.1 133.14 132.85 74.58 72.41 24.37 24.51 445.58 386.14 1612.82 1553.55 2478.14 2461.96 3226.46 3296.08 0.0 0.0 129.86 134.85 223.87 222.43 268.63 290.67 19.0 24.55 78.33 77.74 151.58 149.81 127.95 129.86 4.92 0.0 91.36 145.8 160.92 237.74 62.89 80.51
m1sp-stimtheta-noReb_DaDec1 2 48.36 49.61 137.06 136.56 104.42 102.5 38.38 36.27 362.96 478.71 1717.18 1627.62 2737.42 2683.67 3143.13 3048.5 1.14 6.65 96.11 111.2 186.19 177.9 218.77 224.01 14.97 18.92 103.65 102.93 169.5 172.27 111.63 107.23 4.27 0.0 88.32 117.29 143.04 173.17 72.86 75.31
Plc50-stim20hz-blockM1 0 12.51 15.34 30.55 29.07 38.63 37.46 29.44 28.3 388.17 476.66 1671.02 1668.75 2246.57 2336.23 2570.22 2485.31 0.0 0.0 31.09 29.15 52.91 56.64 72.76 82.64 19.0 16.88 81.57 82.81 96.78 101.18 115.95 112.01 2.89 10.23 7.64 131.74 12.58 121.21 12.42 161.19
Plc50-stim20hz-blockM1 1 10.85 12.27 36.48 38.19 37.05 39.0 25.69 25.7 379.53 403.53 1717.49 1719.81 2113.13 2060.26 2498.75 2532.75 0.0 0.0 27.82 31.11 50.84 43.43 81.73 85.84 24.17 24.55 80.15 80.94 88.51 95.55 120.62 117.38 0.0 0.0 5.6 89.37 12.36 159.1 12.79 161.27
Plc50-stim20hz-blockM1 2 7.16 10.74 39.99 40.49 40.02 39.51 35.57 36.01 390.14 352.9 1890.28 1864.89 2220.06 2121.46 2019.6 1900.09 0.0 0.0 24.25 23.78 43.56 51.91 61.49 57.96 26.01 23.53 101.34 99.48 115.08 118.27 71.36 70.2 2.03 0.0 12.22 108.47 11.15 93.25 13.78 126.41
Plc50-stim20hz-blockMGlu 0 27.46 30.18 89.54 89.25 94.25 97.13 80.01 79.96 465.44 392.28 1593.69 1517.02 2119.22 2259.77 2292.21 2266.24 0.0 0.0 25.64 32.48 52.25 60.9 77.86 75.52 30.75 25.57 82.74 81.79 88.25 86.05 77.31 81.36 2.77 0.0 24.5 13.38 44.25 5.97 51.42 27.79
Plc50-stim20hz-blockMGlu 1 51.47 53.19 102.41 98.96 96.21 98.92 96.58 97.47 310.81 302.77 1804.44 1637.08 2107.88 1904.7 2184.59 2023.48 0.0 0.0 27.9 36.91 50.0 54.98 66.04 69.26 14.17 7.16 89.62 86.9 90.27 88.82 96.51 98.79 4.3 0.0 29.94 8.65 36.85 9.33 52.46 26.04
Plc50-stim20hz-blockMGlu 2 36.9 32.22 106.37 103.95 100.85 102.93 82.31 80.17 508.45 655.16 1888.63 1897.66 2280.53 2300.08 2261.19 2287.38 0.0 0.0 27.37 26.34 59.15 57.84 81.82 90.23 25.49 23.01 95.92 97.3 107.09 101.82 90.27 86.95 11.07 0.0 27.82 9.04 35.85 11.08 51.04 38.57
Plc50-stim20hz-noReb_lowDaDec3 0 26.04 20.97 109.08 111.92 110.19 113.54 84.8 83.41 475.92 437.28 1901.34 1823.08 2195.49 2180.32 2381.16 2399.01 0.0 0.0 27.78 31.24 52.53 58.13 82.04 85.41 26.13 28.13 90.42 93.68 105.37 102.59 101.2 102.12 8.15 0.0 37.07 95.26 49.38 159.78 70.71 159.4
Plc50-stim20hz-noReb_lowDaDec3 1 38.74 34.27 104.11 107.06 115.76 115.54 89.92 88.1 363.42 459.79 1684.69 1629.67 1884.02 1710.73 2036.97 2027.78 0.0 0.0 18.22 18.88 43.4 54.21 74.42 78.25 11.93 8.18 87.0 82.38 85.79 86.22 91.96 90.7 5.13 1.02 30.12 92.74 32.82 124.32 53.39 158.8
